id,IATA,en-GB,latitude,longitude,vibes
128668243,AAA,Anaa,-17.35542961176671,-145.50941496626925,null
129052440,AAB,Arrabury,-26.7,141.041667,null
154088928,AAD,Adado,6.095833,46.6375,null
128667593,AAE,Annaba,36.821667,7.81,null
129057725,AAF,Apalachicola,29.72938,-85.0288,null
129053851,AAG,Arapoti,-24.103611,-49.79,null
129057414,AAH,Aachen / Merzbruck,50.75,6.133333,null
129052979,AAI,Arraias,-12.916667,-46.933333,null
129056817,AAJ,Awaradam,3.9,-55.366667,null
129054485,AAK,Aranuka,0.166667,173.583333,null
95673990,AAL,Aalborg,57.093056,9.85,null
129055248,AAM,Mala Mala,-24.8,31.533333,null
128667537,AAN,Al Ain,24.25,55.75,null
129056450,AAO,Anaco,9.431944,-64.463889,null
200615313,AAP,AP Tumenggung Pranoto,-0.373611,117.255556,null
114117387,AAQ,Anapa,45.002097,37.347272,null
95673987,AAR,Aarhus,56.310278,10.618056,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129053028,AAS,Apalapsili,-3.916667,139.25,null
128668242,AAT,Altay,47.75223,88.08738,null
129056449,AAU,Asau,-13.458333,-172.6,null
129052414,AAV,Alah,6.333333,124.766667,null
129054813,AAW,Abbottabad,34.2,73.25,null
95673908,AAX,Araxa,-19.568056,-46.929167,null
128668193,AAY,Al Ghaydah,16.2,52.183333,null
129057724,AAZ,Quetzaltenango,14.865556,-91.501944,null
128668315,ABA,Abakan,53.716667,91.5,null
128668194,ABB,Asaba International,6.195168,6.729126,null
129057413,ABC,Albacete,38.948333,-1.863333,null
128668050,ABD,Abadan,30.366667,48.233333,null
95566291,ABE,Allentown,40.654722,-75.438333,null
129052978,ABF,Abaiang,1.799150274715055,173.03934681636522,null
129056816,ABG,Abingdon,-17.666667,143.2,null
129054484,ABH,Alpha,-23.65,146.633333,null
95674197,ABI,Abilene Municipal,32.409444,-99.679722,null
